"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 15 21:44:54 CST 2020","Wed Jan 15 21:45:56 CST 2020","61618","","create a new  relationshp record","","CreateNewRelationshipAllInPut","","CreateNewRelationshipAllInPut",""
"failed","Tue Dec 24 15:22:22 CST 2019","Tue Dec 24 15:23:18 CST 2019","56201","","create a new  relationshp record","","CreateNewRelationship","","CreateNewRelationship",""
"passed","Tue Feb 18 13:44:30 CST 2020","Tue Feb 18 13:46:43 CST 2020","133295","","create a new phonecall record with all input fields","","CreateNewPhonecallAllInput","","CreateNewPhonecallAllInput",""
"passed","Wed Feb 26 13:01:14 CST 2020","Wed Feb 26 13:03:28 CST 2020","134388","","Validating task overview scenarios","","CRM_Client_Activities_NewTaskInputAllFields","","CRM_Client_Activities_NewTaskInputAllFields",""
"failed","Thu Apr 09 14:44:22 CST 2020","Thu Apr 09 14:46:05 CST 2020","103437","","create a new phonecall record with mandatory fields","","CreateNewPhonecall","","CreateNewPhonecall",""
"passed","Thu Feb 13 12:54:59 CST 2020","Thu Feb 13 12:56:36 CST 2020","97391","","create a new phonecall record with all input fields","","CreateNewPhonecallAllInput","","CreateNewPhonecallAllInput",""
"passed","Mon Feb 24 16:34:10 CST 2020","Mon Feb 24 16:36:34 CST 2020","144340","","Validating to create new meeting in contact page","","CRM_Client_Activities_CreateMeetingUnderContact","","CRM_Client_Activities_CreateMeetingUnderContact",""
"passed","Mon Feb 24 17:40:41 CST 2020","Mon Feb 24 17:43:35 CST 2020","174246","","create a new  relationshp record with all input fields","","CreateNewRelationshipAllInPut","","CreateNewRelationshipAllInPut",""
"passed","Fri Feb 14 17:27:05 CST 2020","Fri Feb 14 17:29:18 CST 2020","132068","","create a new phonecall record with all input fields","","CreateNewPhonecallAllInput","","CreateNewPhonecallAllInput",""
"passed","Fri Jan 17 14:06:31 CST 2020","Fri Jan 17 14:08:50 CST 2020","139420","","create a new  relationshp record","","CreateNewRelationshipAllInPut","","CreateNewRelationshipAllInPut",""
"passed","Mon Feb 24 16:42:52 CST 2020","Mon Feb 24 16:44:59 CST 2020","127139","","create a new phonecall record with all input fields","","CreateNewPhonecallAllInput","","CreateNewPhonecallAllInput",""
"passed","Mon Feb 24 16:31:25 CST 2020","Mon Feb 24 16:33:50 CST 2020","144881","","Validating to create new contact and fill in all fields from relationship record page scenario","","CRM_Client_Contacts_CreateContactsInputAllFields","","CRM_Client_Contacts_CreateContactsInputAllFields",""
"passed","Mon Feb 24 16:29:00 CST 2020","Mon Feb 24 16:31:06 CST 2020","125588","","Validating to create new contact and fill in required fields from relationship record page scenario","","CRM_Client_Contacts_CreateContacts","","CRM_Client_Contacts_CreateContacts",""
"failed","Tue Mar 03 12:41:17 CST 2020","Tue Mar 03 12:43:19 CST 2020","121484","","create a new phonecall record with mandatory fields","","CreateNewPhonecall","","CreateNewPhonecall",""
"passed","Mon Feb 24 16:46:40 CST 2020","Mon Feb 24 16:47:25 CST 2020","44493","","validate all labels on relationshp page","","VerifyLablesOnRelationshipPage","","VerifyLablesOnRelationshipPage",""
"broken","Mon Mar 09 16:05:06 CST 2020","Mon Mar 09 16:07:27 CST 2020","141003","","create a new phonecall record with mandatory fields","","CreateNewPhonecall","","CreateNewPhonecall",""
"broken","Mon Mar 02 16:40:16 CST 2020","Mon Mar 02 16:40:34 CST 2020","18481","","create a new  relationshp record with mandatory input fields","","CreateNewRelationship","","CreateNewRelationship",""
"failed","Wed Jan 15 16:11:21 CST 2020","Wed Jan 15 16:13:26 CST 2020","125120","","create a new  relationshp record","","CreateNewRelationshipAllInPut","","CreateNewRelationshipAllInPut",""
"passed","Mon Feb 24 16:13:32 CST 2020","Mon Feb 24 16:15:25 CST 2020","112705","","Validating Contact Overview page scenarios","","","","",""
"passed","Thu Apr 09 14:47:31 CST 2020","Thu Apr 09 14:47:35 CST 2020","3511","","Generates the consolidated Report","","Create consolidated report","","Create consolidated report",""
"passed","Fri Jan 17 08:54:00 CST 2020","Fri Jan 17 08:55:38 CST 2020","97330","","create a new  relationshp record","","CreateNewRelationshipAllInPut","","CreateNewRelationshipAllInPut",""
"passed","Tue Mar 10 11:23:41 CST 2020","Tue Mar 10 11:25:12 CST 2020","90595","","create a new phonecall record with mandatory fields","","CreateNewPhonecall","","CreateNewPhonecall",""
